date,product_id,product_name,category,quantity,unit_price
2023-11-02,100,Grill Gazowy,Dom i Ogród,10,1500
2023-07-24,101,Mata do jogi,Sport,4,150
2023-09-01,102,Bluza Adidas,Odzież,3,280
2023-12-07,103,Czapka New Era,Odzież,1,120
2023-11-27,104,Poduszka IKEA,Dom i Ogród,6,40
2023-11-24,105,Rower Giant,Sport,4,3500
2023-05-01,106,Kurtka North Face,Odzież,1,1100
2023-12-20,107,Buty Nike,Odzież,4,450
2023-05-14,108,Fotel Biurowy,Dom i Ogród,9,850
2023-11-15,109,Gra Monopoly,Zabawki,8,110
2023-08-10,110,Puzzle 1000,Zabawki,2,60
2023-09-25,111,Spodnie Levi's,Odzież,4,320
2023-11-10,112,Lalka Barbie,Zabawki,3,120
2023-05-27,113,Zestaw Noży,Dom i Ogród,7,300
2023-11-01,114,Laptop Dell,Elektronika,5,4500
2023-11-23,115,Piłka Adidas,Sport,2,130
2023-09-16,116,Hantle 10kg,Sport,1,200
2023-04-13,117,Lampa Philips,Dom i Ogród,3,250
2023-04-07,118,Smartfon Samsung,Elektronika,1,3200
2023-05-05,119,Rolki Rollerblade,Sport,4,600
2023-08-25,120,Monitor LG,Elektronika,3,1200
2023-04-22,121,Klocki LEGO,Zabawki,7,400
2023-05-10,122,Auto RC,Zabawki,10,350
2023-09-20,123,Klawiatura Razer,Elektronika,1,450
2023-01-03,124,Słuchawki Sony,Elektronika,5,800
